date,city,trend_score
2019-05-31,Florence,5.550498862244005
2019-06-30,Florence,5.550498862244005
2019-07-31,Florence,5.550498862244005
2019-08-31,Florence,5.550498862244005
2019-09-30,Florence,5.550498862244005
2019-10-31,Florence,4.757570453352004
2019-11-30,Florence,4.757570453352004
2019-12-31,Florence,4.757570453352004
2020-01-31,Florence,5.550498862244005
2020-02-29,Florence,4.757570453352004
2020-03-31,Florence,3.964642044460004
2020-04-30,Florence,3.964642044460004
2020-05-31,Florence,4.757570453352004
2020-06-30,Florence,3.964642044460004
2020-07-31,Florence,3.964642044460004
2020-08-31,Florence,3.964642044460004
2020-09-30,Florence,3.964642044460004
2020-10-31,Florence,3.964642044460004
2020-11-30,Florence,3.171713635568003
2020-12-31,Florence,3.171713635568003
2021-01-31,Florence,3.171713635568003
2021-02-28,Florence,3.964642044460004
2021-03-31,Florence,3.964642044460004
2021-04-30,Florence,3.964642044460004
2021-05-31,Florence,3.964642044460004
2021-06-30,Florence,3.964642044460004
2021-07-31,Florence,6.343427271136006
2021-08-31,Florence,4.757570453352004
2021-09-30,Florence,4.757570453352004
2021-10-31,Florence,3.964642044460004
2021-11-30,Florence,3.964642044460004
2021-12-31,Florence,3.964642044460004
2022-01-31,Florence,3.964642044460004
2022-02-28,Florence,4.757570453352004
2022-03-31,Florence,4.757570453352004
2022-04-30,Florence,4.757570453352004
2022-05-31,Florence,5.550498862244005
2022-06-30,Florence,4.757570453352004
2022-07-31,Florence,5.550498862244005
2022-08-31,Florence,5.550498862244005
2022-09-30,Florence,6.343427271136006
2022-10-31,Florence,4.757570453352004
2022-11-30,Florence,4.757570453352004
2022-12-31,Florence,3.964642044460004
2023-01-31,Florence,4.757570453352004
2023-02-28,Florence,4.757570453352004
2023-03-31,Florence,4.757570453352004
2023-04-30,Florence,4.757570453352004
2023-05-31,Florence,5.550498862244005
2023-06-30,Florence,4.757570453352004
2023-07-31,Florence,6.343427271136006
2023-08-31,Florence,5.550498862244005
2023-09-30,Florence,4.757570453352004
2023-10-31,Florence,4.757570453352004
2023-11-30,Florence,3.964642044460004
2023-12-31,Florence,3.964642044460004
2024-01-31,Florence,3.964642044460004
2024-02-29,Florence,4.757570453352004
2024-03-31,Florence,5.550498862244005
2024-04-30,Florence,5.550498862244005
2024-05-31,Florence,4.757570453352004
2024-06-30,Florence,4.757570453352004
2024-07-31,Florence,4.757570453352004
2024-08-31,Florence,4.757570453352004
2024-09-30,Florence,4.757570453352004
2024-10-31,Florence,4.757570453352004
2024-11-30,Florence,3.964642044460004
2024-12-31,Florence,3.964642044460004
2025-01-31,Florence,4.757570453352004
2025-02-28,Florence,4.757570453352004
2025-03-31,Florence,4.757570453352004
2025-04-30,Florence,4.757570453352004
2025-05-31,Florence,5.550498862244005
2025-06-30,Florence,4.757570453352004
2025-07-31,Florence,5.550498862244005
2025-08-31,Florence,6.343427271136006
2025-09-30,Florence,6.343427271136006
2025-10-31,Florence,5.550498862244005
2025-11-30,Florence,5.550498862244005
2025-12-31,Florence,4.757570453352004
2018-01-31,Istanbul,14.213994352055225
2018-02-28,Istanbul,14.213994352055225
2018-03-31,Istanbul,15.635393787260748
2018-04-30,Istanbul,14.213994352055225
2018-05-31,Istanbul,14.213994352055225
2018-06-30,Istanbul,14.213994352055225
2018-07-31,Istanbul,14.213994352055225
2018-08-31,Istanbul,14.213994352055225
2018-09-30,Istanbul,15.635393787260748
2018-10-31,Istanbul,14.213994352055225
2018-11-30,Istanbul,14.213994352055225
2018-12-31,Istanbul,15.635393787260748
2019-01-31,Istanbul,15.635393787260748
2019-02-28,Istanbul,15.635393787260748
2019-03-31,Istanbul,17.056793222466272
2019-04-30,Istanbul,24.163790398493884
2019-05-31,Istanbul,18.478192657671794
2019-06-30,Istanbul,18.478192657671794
2019-07-31,Istanbul,15.635393787260748
2019-08-31,Istanbul,17.056793222466272
2019-09-30,Istanbul,19.899592092877317
2019-10-31,Istanbul,17.056793222466272
2019-11-30,Istanbul,15.635393787260748
2019-12-31,Istanbul,17.056793222466272
2020-01-31,Istanbul,18.478192657671794
2020-02-29,Istanbul,17.056793222466272
2020-03-31,Istanbul,12.792594916849703
2020-04-30,Istanbul,9.949796046438658
2020-05-31,Istanbul,11.37119548164418
2020-06-30,Istanbul,11.37119548164418
2020-07-31,Istanbul,12.792594916849703
2020-08-31,Istanbul,12.792594916849703
2020-09-30,Istanbul,11.37119548164418
2020-10-31,Istanbul,14.213994352055225
2020-11-30,Istanbul,12.792594916849703
2020-12-31,Istanbul,12.792594916849703
2021-01-31,Istanbul,12.792594916849703
2021-02-28,Istanbul,14.213994352055225
2021-03-31,Istanbul,14.213994352055225
2021-04-30,Istanbul,14.213994352055225
2021-05-31,Istanbul,11.37119548164418
2021-06-30,Istanbul,14.213994352055225
2021-07-31,Istanbul,14.213994352055225
2021-08-31,Istanbul,14.213994352055225
2021-09-30,Istanbul,15.635393787260748
2021-10-31,Istanbul,15.635393787260748
2021-11-30,Istanbul,15.635393787260748
2021-12-31,Istanbul,15.635393787260748
2022-01-31,Istanbul,18.478192657671794
2022-02-28,Istanbul,17.056793222466272
2022-03-31,Istanbul,19.899592092877317
2022-04-30,Istanbul,21.32099152808284
2022-05-31,Istanbul,17.056793222466272
2022-06-30,Istanbul,18.478192657671794
2022-07-31,Istanbul,17.056793222466272
2022-08-31,Istanbul,18.478192657671794
2022-09-30,Istanbul,18.478192657671794
2022-10-31,Istanbul,17.056793222466272
2022-11-30,Istanbul,19.899592092877317
2022-12-31,Istanbul,14.213994352055225
2023-01-31,Istanbul,17.056793222466272
2023-02-28,Istanbul,21.32099152808284
2023-03-31,Istanbul,19.899592092877317
2023-04-30,Istanbul,21.32099152808284
2023-05-31,Istanbul,18.478192657671794
2023-06-30,Istanbul,18.478192657671794
2023-07-31,Istanbul,18.478192657671794
2023-08-31,Istanbul,17.056793222466272
2023-09-30,Istanbul,17.056793222466272
2023-10-31,Istanbul,15.635393787260748
2023-11-30,Istanbul,18.478192657671794
2023-12-31,Istanbul,17.056793222466272
2024-01-31,Istanbul,18.478192657671794
2024-02-29,Istanbul,14.213994352055225
2024-03-31,Istanbul,18.478192657671794
2024-04-30,Istanbul,17.056793222466272
2024-05-31,Istanbul,14.213994352055225
2024-06-30,Istanbul,14.213994352055225
2024-07-31,Istanbul,15.635393787260748
2024-08-31,Istanbul,15.635393787260748
2024-09-30,Istanbul,15.635393787260748
2024-10-31,Istanbul,14.213994352055225
